,,VALUE PREDICTED,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
TRUE VALUE,0,665736,3,9,146,6,137,16,0,0,1,16077,1,0,0,0
,1,258,180,0,0,0,0,0,0,0,0,159,0,0,0,0
,2,5740,0,32729,0,1,1,0,0,0,0,0,0,0,0,0
,3,160,0,0,2933,0,2,0,0,0,0,0,0,0,0,0
,4,22132,0,2,2,46812,64,49,0,0,0,0,0,0,0,0
,5,323,0,0,0,0,1361,13,0,0,0,0,0,0,0,0
,6,851,0,0,0,1,8,857,0,0,0,0,0,0,0,0
,7,1197,0,0,0,0,0,0,1211,0,0,0,0,0,0,0
,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,9,5,0,1,0,0,0,0,0,0,7,0,0,0,0,0
,10,346,0,0,0,11,0,0,0,0,0,47185,0,0,0,0
,11,898,0,0,0,0,0,0,0,0,0,0,872,0,0,0
,12,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
